Name,Teff [K],e_Teff [K],R* [Rsun],e_R* [Rsun],log(g) [cm/s2],e_log(g) [cm/s2],[Fe/H] [sun],e_[Fe/H] [sun],M* [Msun],e_M* [Msun],logAge [yr],e_logAge [yr],plx [mas],Vmag [mag],Notes,SCat,Gaia,2M,Simbad,_RA [deg],_DE [deg]
HD 100623   ,5140, 60, 0.720, 0.040, 4.56, 0.05,-0.36, 0.05, 0.75, 0.04, 9.81, 0.50,104.6, 6.0,"A,1",  1,Gaia,2M,Simbad,173.62286,-32.83134
HD 101904   ,5883, 60, 1.540, 0.190, 4.10, 0.05, 0.12, 0.05, 1.12, 0.09, 9.80, 0.11, 12.5, 8.2,"A,1",  1,Gaia,2M,Simbad,176.00117,+64.96420
HD 102195   ,5277, 60, 0.850, 0.050, 4.50, 0.05, 0.10, 0.05, 0.89, 0.04, 9.74, 0.49, 34.0, 8.1,"A,1",  1,Gaia,2M,Simbad,176.42622,+02.82148
HD 102444   ,5227, 60, 2.670, 0.390, 3.60, 0.05, 0.00, 0.05, 1.02, 0.21, 9.98, 0.27,  8.5, 8.0,"A,1",  1,Gaia,2M,Simbad,176.88109,-05.26362
HD 102956   ,4985, 60, 3.790, 0.470, 3.38, 0.05, 0.26, 0.05, 1.30, 0.15, 9.70, 0.17,  8.1, 7.9,"A,1",  1,Gaia,2M,Simbad,177.84380,+57.64073
HD 103459   ,5722, 60, 1.710, 0.210, 4.03, 0.05, 0.24, 0.05, 1.15, 0.12, 9.81, 0.15, 16.0, 7.6,"A,2",  1,Gaia,2M,Simbad,178.71649,-01.45149
HD 103890   ,6120, 60, 1.430, 0.160, 4.19, 0.05, 0.03, 0.05, 1.17, 0.07, 9.63, 0.09, 13.7, 8.0,"A,1",  1,Gaia,2M,Simbad,179.44244,-08.27528
HD 104437   ,5761, 60, 1.030, 0.090, 4.40, 0.05, 0.17, 0.05, 1.03, 0.04, 9.64, 0.35, 16.6, 8.6,"A,1",  1,Gaia,2M,Simbad,180.42003,+39.58659
HD 106088   ,5470, 60, 2.070, 0.260, 3.87, 0.05, 0.34, 0.05, 1.23, 0.12, 9.75, 0.13, 10.3, 8.4,"A,1",  1,Gaia,2M,Simbad,183.10271,+19.80102
HD 107181   ,5628, 60, 1.640, 0.210, 4.05, 0.05, 0.31, 0.05, 1.13, 0.12, 9.86, 0.15, 12.5, 8.4,"A,1",  1,Gaia,2M,Simbad,184.86392,-26.10737
HD 108189   ,5373, 60, 2.890, 0.410, 3.56, 0.05, 0.03, 0.05, 1.15, 0.21, 9.81, 0.23,  7.5, 7.7,"A,1",  1,Gaia,2M,Simbad,186.41909,-00.28218
HD 108863   ,4878, 60, 5.590, 0.660, 3.08, 0.05, 0.20, 0.05, 1.37, 0.14, 9.61, 0.15,  5.8, 7.7,"A,1",  1,Gaia,2M,Simbad,187.58296,+21.94824
HD 109159   ,5151, 60, 2.570, 0.320, 3.60, 0.05,-0.08, 0.05, 0.93, 0.13,10.09, 0.17,  9.7, 8.0,"A,1",  1,Gaia,2M,Simbad,188.17179,-17.22068
HD 109749   ,5825, 60, 1.310, 0.150, 4.24, 0.05, 0.24, 0.05, 1.10, 0.08, 9.78, 0.13, 15.9, 8.1,"A,1",  1,Gaia,2M,Simbad,189.31824,-40.81212
HD 10995    ,5688, 60, 2.870, 0.340, 3.67, 0.05, 0.10, 0.05, 1.45, 0.19, 9.50, 0.17, 11.0, 7.3,"A,1",  1,Gaia,2M,Simbad,027.08668,+17.02276
HD 110463   ,4906, 60, 0.760, 0.030, 4.55, 0.05, 0.06, 0.05, 0.80, 0.04, 9.73, 0.52, 44.1, 8.3,"A,1",  1,Gaia,2M,Simbad,190.43551,+55.72467
HD 110537   ,5718, 60, 1.140, 0.110, 4.30, 0.05, 0.08, 0.05, 0.99, 0.04, 9.92, 0.13, 21.5, 7.8,"A,2",  1,Gaia,2M,Simbad,190.74719,-04.04933
HD 110743   ,5198, 60, 0.840, 0.050, 4.47, 0.05, 0.01, 0.05, 0.84, 0.04, 9.98, 0.40, 22.9, 8.8,"A,2",  1,Gaia,2M,Simbad,190.97652,+34.34372
HD 110833   ,4999, 60, 0.800, 0.040, 4.51, 0.05, 0.18, 0.05, 0.83, 0.04, 9.86, 0.50, 66.4, 7.0,"A,2",  1,Gaia,2M,Simbad,191.06060,+51.75930
HD 111814   ,5646, 60, 1.940, 0.240, 3.93, 0.05, 0.22, 0.05, 1.20, 0.11, 9.76, 0.14, 12.4, 8.1,"A,1",  1,Gaia,2M,Simbad,192.93984,+19.22883
HD 112415   ,5574, 60, 1.230, 0.130, 4.25, 0.05, 0.28, 0.05, 1.00, 0.06, 9.99, 0.13, 14.8, 8.7,"A,1",  1,Gaia,2M,Simbad,194.08818,+06.89312
HD 112914   ,4816, 60, 0.700, 0.030, 4.51, 0.05,-0.26, 0.05, 0.71, 0.03,10.00, 0.45, 41.4, 8.6,"A,2",  1,Gaia,2M,Simbad,194.88659,+41.98676
HD 114659   ,4838, 60, 5.450, 0.720, 3.08, 0.05, 0.17, 0.05, 1.34, 0.20, 9.64, 0.22,  5.1, 8.3,"A,1",  1,Gaia,2M,Simbad,197.95297,+12.73044
HD 116442   ,5155, 60, 0.720, 0.040, 4.54, 0.05,-0.38, 0.05, 0.74, 0.04, 9.88, 0.49, 59.7, 7.1,"A,1",  1,Gaia,2M,Simbad,200.91314,+02.72333
HD 122253   ,5007, 60, 3.780, 0.520, 3.36, 0.05, 0.03, 0.05, 1.24, 0.21, 9.72, 0.25,  9.0, 7.8,"A,1",  1,Gaia,2M,Simbad,209.92300,+42.04981
HD 122973   ,5989, 60, 1.070, 0.060, 4.46, 0.05, 0.20, 0.05, 1.12, 0.04, 9.20, 0.25, 20.6, 8.1,"A,2",  1,Gaia,2M,Simbad,211.29454,-09.04851
HD 123239   ,4795, 60, 5.960, 0.890, 2.94, 0.05,-0.05, 0.05, 1.18, 0.24, 9.78, 0.29,  6.5, 8.4,"A,2",  1,Gaia,2M,Simbad,211.68781,-14.09527
HD 124257A  ,5911, 60, 1.460, 0.160, 4.15, 0.05, 0.15, 0.05, 1.13, 0.08, 9.76, 0.11,  8.7, 9.2,"A,1",  1,Gaia,2M,Simbad,212.75412,+50.25232
HD 125607   ,4985, 60, 3.910, 0.510, 3.35, 0.05, 0.10, 0.05, 1.26, 0.18, 9.71, 0.22,  4.8, 8.1,"A,1",  1,Gaia,2M,Simbad,214.86337,+37.60997
HD 126583   ,5482, 60, 0.880, 0.060, 4.49, 0.05, 0.00, 0.05, 0.92, 0.04, 9.65, 0.45, 28.7, 8.1,"A,1",  1,Gaia,2M,Simbad,216.49273,+13.43326
HD 128311   ,4918, 60, 0.790, 0.040, 4.49, 0.05, 0.19, 0.05, 0.81, 0.04, 9.95, 0.49, 60.4, 7.4,"A,2",  1,Gaia,2M,Simbad,219.00233,+09.74652
HD 130048   ,4964, 60, 6.290, 0.710, 3.02, 0.05, 0.28, 0.05, 1.52, 0.13, 9.47, 0.13,  5.4, 7.1,"A,1",  1,Gaia,2M,Simbad,221.55626,-07.79695
HD 130307   ,4985, 60, 0.740, 0.040, 4.56, 0.05,-0.13, 0.05, 0.78, 0.04, 9.74, 0.51, 50.8, 7.8,"A,2",  1,Gaia,2M,Simbad,221.81709,+02.70322
HD 131511   ,5259, 60, 0.860, 0.060, 4.47, 0.05, 0.13, 0.05, 0.88, 0.04, 9.90, 0.46, 86.7, 6.0,"A,2",  1,Gaia,2M,Simbad,223.34903,+19.15280
HD 131582   ,4728, 60, 0.670, 0.030, 4.52, 0.05,-0.33, 0.05, 0.68, 0.03,10.00, 0.46, 40.9, 8.6,"A,1",  1,Gaia,2M,Simbad,223.42321,+23.34519
HD 132254   ,6157, 60, 1.550, 0.190, 4.14, 0.05, 0.16, 0.05, 1.26, 0.08, 9.56, 0.08, 39.7, 5.6,"A,1",  1,Gaia,2M,Simbad,224.09600,+49.62845
HD 133125   ,5506, 60, 0.860, 0.060, 4.49, 0.05,-0.13, 0.05, 0.89, 0.04, 9.71, 0.44, 17.7, 8.8,"A,2",  1,Gaia,2M,Simbad,225.57969,+19.39059
HD 135101A  ,5677, 60, 1.280, 0.140, 4.20, 0.05, 0.04, 0.05, 0.98, 0.05,10.01, 0.09, 30.7, 6.7,"A,1",  1,Gaia,2M,Simbad,228.18117,+19.28604
HD 135872   ,4992, 60, 3.370, 0.460, 3.44, 0.05, 0.12, 0.05, 1.16, 0.20, 9.84, 0.25, 11.7, 7.3,"A,1",  1,Gaia,2M,Simbad,229.42172,-05.20242
HD 137778   ,5128, 60, 0.830, 0.050, 4.52, 0.05, 0.27, 0.05, 0.89, 0.04, 9.66, 0.50, 48.1, 7.5,"A,2",  1,Gaia,2M,Simbad,232.05088,-09.35786
HD 13871    ,6416, 60, 1.940, 0.240, 4.03, 0.05, 0.27, 0.05, 1.49, 0.10, 9.34, 0.08, 24.9, 5.8,"A,2",  1,Gaia,2M,Simbad,033.94187,+25.78294
HD 1388     ,5925, 60, 1.150, 0.120, 4.32, 0.05, 0.03, 0.05, 1.06, 0.05, 9.71, 0.21, 36.7, 6.5,"A,1",  1,Gaia,2M,Simbad,004.49530,-13.45564
HD 13931    ,5853, 60, 1.200, 0.120, 4.28, 0.05, 0.05, 0.05, 1.04, 0.05, 9.82, 0.12, 21.4, 7.6,"A,1",  1,Gaia,2M,Simbad,034.19741,+43.77300
HD 144872   ,4781, 60, 0.690, 0.030, 4.52, 0.05,-0.25, 0.05, 0.70, 0.03, 9.97, 0.47, 43.1, 8.6,"A,1",  1,Gaia,2M,Simbad,241.62333,+38.63224
HD 14655    ,5755, 60, 1.970, 0.230, 3.92, 0.05, 0.12, 0.05, 1.23, 0.12, 9.70, 0.13,  9.8, 8.2,"A,2",  1,Gaia,2M,Simbad,035.41098,-15.76798
HD 14787    ,4946, 60, 4.450, 0.590, 3.23, 0.05, 0.03, 0.05, 1.28, 0.20, 9.67, 0.23,  8.4, 7.6,"A,1",  1,Gaia,2M,Simbad,035.80856,+10.83675
HD 148284   ,5572, 60, 1.800, 0.240, 3.97, 0.05, 0.16, 0.05, 1.11, 0.12, 9.88, 0.16,  8.0, 9.0,"A,1",  1,Gaia,2M,Simbad,246.45173,+30.26513
HD 14855    ,5023, 60, 3.430, 0.480, 3.43, 0.05, 0.03, 0.05, 1.17, 0.21, 9.81, 0.26, 11.8, 7.4,"A,1",  1,Gaia,2M,Simbad,036.26560,+45.64734
HD 149750   ,5802, 60, 1.450, 0.180, 4.14, 0.05, 0.19, 0.05, 1.09, 0.10, 9.85, 0.14, 11.5, 8.6,"A,1",  1,Gaia,2M,Simbad,248.81101,+37.02213
HD 1502     ,4947, 60, 4.910, 0.610, 3.18, 0.05, 0.10, 0.05, 1.33, 0.18, 9.64, 0.19,  6.0, 8.3,"A,2",  1,Gaia,2M,Simbad,004.82111,+14.05475
HD 150706   ,5949, 60, 1.000, 0.050, 4.53, 0.05, 0.02, 0.05, 1.06, 0.04, 9.19, 0.24, 35.4, 7.0,"A,1",  1,Gaia,2M,Simbad,247.82326,+79.78978
HD 152581   ,5027, 60, 3.710, 0.410, 3.29, 0.05,-0.21, 0.05, 0.94, 0.06,10.06, 0.11,  6.0, 8.3,"A,1",  1,Gaia,2M,Simbad,253.43159,+11.97375
HD 152733   ,4835, 60, 5.260, 0.690, 3.10, 0.05, 0.16, 0.05, 1.30, 0.18, 9.69, 0.21,  6.1, 8.1,"A,1",  1,Gaia,2M,Simbad,253.23839,+44.40240
HD 15336    ,5025, 60, 4.560, 0.570, 3.12, 0.05,-0.16, 0.05, 1.00, 0.12, 9.97, 0.17,  2.9, 8.9,"A,1",  1,Gaia,2M,Simbad,036.93719,-11.97903
HD 153525   ,4826, 60, 0.740, 0.030, 4.54, 0.05, 0.03, 0.05, 0.78, 0.04, 9.83, 0.51, 55.7, 7.9,"A,1",  0,Gaia,2M,Simbad,254.42595,+47.36214
HD 155413   ,5740, 60, 2.470, 0.280, 3.79, 0.05, 0.27, 0.05, 1.42, 0.11, 9.55, 0.11, 11.6, 7.3,"A,1",  1,Gaia,2M,Simbad,257.99431,-14.62038
HD 155456   ,5225, 60, 0.910, 0.070, 4.43, 0.05, 0.26, 0.05, 0.88, 0.04,10.02, 0.33, 28.3, 8.3,"A,1",  1,Gaia,2M,Simbad,257.65671,+24.53244
HD 155712   ,4911, 60, 0.750, 0.040, 4.52, 0.05,-0.07, 0.05, 0.77, 0.04, 9.91, 0.49, 48.7, 8.0,"A,2",  1,Gaia,2M,Simbad,258.15676,+18.35120
HD 156846   ,5999, 60, 1.880, 0.230, 4.01, 0.05, 0.24, 0.05, 1.35, 0.12, 9.56, 0.11, 21.1, 6.5,"A,1",  1,Gaia,2M,Simbad,260.14296,-19.33375
HD 161479   ,5642, 60, 1.150, 0.120, 4.31, 0.05, 0.28, 0.05, 1.03, 0.06, 9.86, 0.17, 20.4, 8.1,"A,1",  1,Gaia,2M,Simbad,266.26220,+19.29046
HD 162232   ,5492, 60, 1.030, 0.100, 4.36, 0.05, 0.14, 0.05, 0.92, 0.04,10.04, 0.16, 13.4, 8.6,"A,2",  1,Gaia,2M,Simbad,267.48773,+00.51203
HD 164922   ,5341, 60, 0.950, 0.080, 4.39, 0.05, 0.15, 0.05, 0.88, 0.04,10.07, 0.18, 45.4, 7.0,"A,1",  1,Gaia,2M,Simbad,270.62859,+26.31300
HD 168443   ,5551, 60, 1.480, 0.180, 4.07, 0.05, 0.04, 0.05, 0.98, 0.06,10.05, 0.10, 26.4, 6.9,"A,2",  1,Gaia,2M,Simbad,275.01638,-09.59572
HD 170657   ,5041, 60, 0.760, 0.040, 4.54, 0.05,-0.12, 0.05, 0.79, 0.04, 9.81, 0.50, 76.2, 6.8,"A,1",  1,Gaia,2M,Simbad,277.82900,-18.90881
HD 17156    ,5970, 60, 1.510, 0.180, 4.15, 0.05, 0.22, 0.05, 1.19, 0.09, 9.67, 0.11, 30.3, 8.2,"A,1",  1,Gaia,2M,Simbad,042.43536,+71.75323
HD 172051   ,5636, 60, 0.830, 0.040, 4.58, 0.05,-0.26, 0.05, 0.89, 0.04, 9.34, 0.37, 77.0, 5.9,"A,2",  1,Gaia,2M,Simbad,279.72250,-21.05187
HD 175425   ,5773, 60, 1.270, 0.130, 4.23, 0.05, 0.12, 0.05, 1.03, 0.05, 9.90, 0.11, 13.2, 7.9,"A,1",  1,Gaia,2M,Simbad,283.40880,+37.98525
HD 17620    ,5159, 60, 3.040, 0.400, 3.46, 0.05,-0.08, 0.05, 0.96, 0.15,10.03, 0.20,  7.3, 8.2,"A,1",  1,Gaia,2M,Simbad,042.23243,-24.60980
HD 179079   ,5646, 60, 1.700, 0.220, 4.02, 0.05, 0.23, 0.05, 1.12, 0.11, 9.87, 0.15, 14.1, 8.0,"A,1",  1,Gaia,2M,Simbad,287.79095,-02.63838
HD 181234   ,5314, 60, 1.040, 0.100, 4.35, 0.05, 0.35, 0.05, 0.92, 0.04,10.08, 0.14, 20.8, 8.6,"A,1",  1,Gaia,2M,Simbad,290.00041,-09.32360
HD 18143    ,5101, 60, 0.880, 0.060, 4.43, 0.05, 0.27, 0.05, 0.86, 0.04,10.06, 0.29, 44.3, 7.6,"A,1",  1,Gaia,2M,Simbad,043.91274,+26.87321
HD 18445    ,4838, 60, 0.760, 0.030, 4.44, 0.05,-0.04, 0.05, 0.76, 0.03,10.09, 0.30, 38.9, 7.9,"A,2",  1,Gaia,2M,Simbad,044.30494,-24.97512
HD 18742    ,4941, 60, 5.050, 0.810, 3.09, 0.05,-0.02, 0.05, 1.20, 0.26, 9.75, 0.30,  6.2, 7.8,"A,1",  1,Gaia,2M,Simbad,045.04440,-20.80260
HD 189733   ,5024, 60, 0.790, 0.040, 4.51, 0.05, 0.07, 0.05, 0.82, 0.04, 9.89, 0.49, 50.4, 7.6,"A,1",  1,Gaia,2M,Simbad,300.18214,+22.71085
HD 190228   ,5238, 60, 2.150, 0.230, 3.72, 0.05,-0.22, 0.05, 0.90, 0.05,10.08, 0.08, 15.8, 7.3,"A,1",  1,Gaia,2M,Simbad,300.75322,+28.30686
HD 190571   ,4999, 60, 3.600, 0.390, 3.31, 0.05,-0.22, 0.05, 0.92, 0.05,10.08, 0.10,  9.8, 7.5,"A,1",  1,Gaia,2M,Simbad,301.09820,+33.55049
HD 193690   ,5542, 60, 0.980, 0.090, 4.41, 0.05, 0.20, 0.05, 0.96, 0.05, 9.83, 0.37, 14.3, 9.4,"A,1",  1,Gaia,2M,Simbad,305.63060,-26.15989
HD 195034   ,5810, 60, 0.960, 0.060, 4.48, 0.05, 0.00, 0.05, 1.02, 0.04, 9.39, 0.35, 35.7, 7.1,"A,1",  1,Gaia,2M,Simbad,307.04923,+22.12899
HD 196124   ,4833, 60, 0.740, 0.030, 4.50, 0.05,-0.06, 0.05, 0.76, 0.04, 9.98, 0.47, 33.3, 8.9,"A,1",  1,Gaia,2M,Simbad,308.80294,+06.12701
HD 199255   ,5027, 60, 3.740, 0.570, 3.29, 0.05,-0.05, 0.05, 0.97, 0.21,10.02, 0.28,  8.5, 7.3,"A,2",  1,Gaia,2M,Simbad,313.94606,+07.66625
HD 199381   ,4844, 60, 4.610, 0.620, 3.19, 0.05, 0.17, 0.05, 1.21, 0.18, 9.78, 0.21, 13.6, 6.9,"A,1",  1,Gaia,2M,Simbad,314.19771,+01.71518
HD 200964   ,4983, 60, 4.050, 0.590, 3.22, 0.05,-0.07, 0.05, 0.96, 0.20,10.03, 0.27, 13.9, 6.5,"A,1",  1,Gaia,2M,Simbad,316.66601,+03.80312
HD 201924   ,5401, 60, 0.890, 0.070, 4.47, 0.05, 0.05, 0.05, 0.90, 0.04, 9.84, 0.45, 31.9, 7.8,"A,1",  1,Gaia,2M,Simbad,317.79523,+45.45591
HD 202575   ,4730, 60, 0.730, 0.030, 4.50, 0.05,-0.02, 0.05, 0.75, 0.03, 9.96, 0.47, 61.8, 7.9,"A,1",  1,Gaia,2M,Simbad,319.13528,+09.39383
HD 203471   ,5425, 60, 2.340, 0.310, 3.72, 0.05,-0.02, 0.05, 1.02, 0.18, 9.94, 0.22,  7.7, 8.3,"A,1",  1,Gaia,2M,Simbad,320.39330,+28.56468
HD 203473   ,5781, 60, 1.520, 0.200, 4.11, 0.05, 0.19, 0.05, 1.10, 0.11, 9.86, 0.14, 13.2, 8.2,"A,1",  1,Gaia,2M,Simbad,320.57864,+05.02359
HD 20367    ,6094, 60, 1.100, 0.070, 4.46, 0.05, 0.17, 0.05, 1.14, 0.04, 9.18, 0.22, 37.8, 6.4,"A,1",  1,Gaia,2M,Simbad,049.41686,+31.12704
HD 206635   ,4944, 60, 2.410, 0.240, 3.65, 0.05,-0.18, 0.05, 0.87, 0.06,10.16, 0.04, 11.0, 8.3,"A,1",  1,Gaia,2M,Simbad,325.85558,+01.80091
HD 207077   ,5068, 60, 3.650, 0.390, 3.27, 0.05,-0.31, 0.05, 0.92, 0.07,10.05, 0.11,  5.9, 8.3,"A,2",  1,Gaia,2M,Simbad,326.68353,-08.00718
HD 208313   ,5016, 60, 0.780, 0.040, 4.51, 0.05, 0.02, 0.05, 0.81, 0.04, 9.87, 0.49, 48.8, 7.8,"A,1",  1,Gaia,2M,Simbad,328.68766,+32.32857
HD 209393   ,5651, 60, 0.860, 0.040, 4.57, 0.05,-0.14, 0.05, 0.93, 0.04, 9.31, 0.34, 29.4, 7.9,"A,1",  1,Gaia,2M,Simbad,330.52246,+44.34317
HD 210373   ,4876, 60, 5.060, 0.600, 3.15, 0.05, 0.21, 0.05, 1.34, 0.16, 9.64, 0.17,  7.2, 7.5,"A,1",  1,Gaia,2M,Simbad,332.41456,+22.24220
HD 211681   ,5710, 60, 1.590, 0.200, 4.10, 0.05, 0.35, 0.05, 1.18, 0.11, 9.77, 0.13, 14.2, 8.1,"A,1",  1,Gaia,2M,Simbad,331.70452,+85.40937
HD 215049   ,5109, 60, 2.650, 0.350, 3.63, 0.05, 0.06, 0.05, 1.12, 0.16, 9.89, 0.23,  9.3, 8.3,"A,1",  1,Gaia,2M,Simbad,340.71769,-27.88689
HD 216834   ,5058, 60, 3.170, 0.350, 3.40, 0.05,-0.23, 0.05, 0.91, 0.06,10.09, 0.09,  7.7, 8.1,"A,1",  1,Gaia,2M,Simbad,344.08518,-06.54584
HD 217681   ,4954, 60, 3.360, 0.420, 3.45, 0.05, 0.24, 0.05, 1.20, 0.16, 9.81, 0.19, 10.7, 7.8,"A,1",  1,Gaia,2M,Simbad,345.63289,-11.26569
HD 21774    ,5692, 60, 1.230, 0.130, 4.25, 0.05, 0.20, 0.05, 1.02, 0.06, 9.93, 0.13, 18.7, 8.2,"A,1",  1,Gaia,2M,Simbad,052.81426,+20.76808
HD 220339   ,4954, 60, 0.710, 0.040, 4.56, 0.05,-0.24, 0.05, 0.75, 0.04, 9.79, 0.52, 52.4, 7.8,"A,1",  1,Gaia,2M,Simbad,350.77040,-10.76424
HD 221504   ,5334, 60, 2.360, 0.280, 3.76, 0.05, 0.29, 0.05, 1.23, 0.12, 9.76, 0.14, 11.8, 8.1,"A,1",  1,Gaia,2M,Simbad,353.21108,-21.68769
