Name,Teff [K],e_Teff [K],R* [Rsun],e_R* [Rsun],log(g) [cm/s2],e_log(g) [cm/s2],[Fe/H] [sun],e_[Fe/H] [sun],M* [Msun],e_M* [Msun],logAge [yr],e_logAge [yr],plx [mas],Vmag [mag],Notes,SCat,Gaia,2M,Simbad,_RA [deg],_DE [deg]
KIC 5184732 ,5840, 60, 1.310, 0.100, 4.26, 0.03, 0.38, 0.06, 1.16, 0.06, 9.65, 0.13, 14.2, 8.3,"B,1",  2,Gaia,2M,Simbad,291.12645,+40.32324
KIC 5596656 ,5094, 60, 3.320, 0.270, 3.35, 0.03,-0.46, 0.06, 0.90, 0.08,10.07, 0.14,  3.0, 9.8,"B,1",  1,Gaia,2M,Simbad,282.82013,+40.85394
KIC 5773345 ,6130, 60, 1.940, 0.150, 4.00, 0.03, 0.21, 0.06, 1.39, 0.09, 9.51, 0.08,  5.2, 9.3,"B,1",  1,Gaia,2M,Simbad,285.43770,+41.08058
KIC 5955122 ,5837, 60, 2.090, 0.150, 3.87, 0.03,-0.17, 0.06, 1.18, 0.08, 9.65, 0.12,  5.2, 9.4,"B,1",  1,Gaia,2M,Simbad,290.12227,+41.29125
KIC 6106415 ,5990, 60, 1.170, 0.080, 4.31, 0.03,-0.09, 0.06, 1.04, 0.06, 9.73, 0.11, 24.1, 7.2,"B,1",  2,Gaia,2M,Simbad,285.41533,+41.49009
KIC 6116048 ,5935, 60, 1.170, 0.080, 4.28, 0.03,-0.24, 0.06, 0.96, 0.05, 9.87, 0.09, 13.3, 8.5,"B,1",  2,Gaia,2M,Simbad,289.44315,+41.41023
KIC 6225718 ,6230, 60, 1.190, 0.070, 4.32, 0.03,-0.17, 0.06, 1.09, 0.06, 9.56, 0.16, 19.1, 7.5,"B,1",  3,Gaia,2M,Simbad,297.32558,+41.58246
KIC 6442183 ,5760, 60, 1.650, 0.110, 4.03, 0.03,-0.11, 0.06, 1.07, 0.05, 9.81, 0.10, 10.9, 8.6,"B,1",  1,Gaia,2M,Simbad,291.58045,+41.87020
KIC 6603624 ,5625, 60, 1.150, 0.080, 4.32, 0.03, 0.28, 0.06, 1.01, 0.06, 9.90, 0.14, 12.0, 9.2,"B,1",  1,Gaia,2M,Simbad,291.04664,+42.05270
KIC 6933899 ,5860, 60, 1.550, 0.110, 4.09, 0.03, 0.02, 0.06, 1.09, 0.06, 9.85, 0.09,  7.0, 9.8,"B,1",  1,Gaia,2M,Simbad,286.74305,+42.43561
KIC 7206837 ,6304, 60, 1.540, 0.110, 4.17, 0.03, 0.14, 0.06, 1.29, 0.05, 9.48, 0.07,  4.8, 9.8,"B,1",  1,Gaia,2M,Simbad,293.76557,+42.73798
KIC 7680114 ,5855, 60, 1.390, 0.100, 4.18, 0.03, 0.11, 0.06, 1.08, 0.07, 9.85, 0.11,  5.9,10.2,"B,1",  1,Gaia,2M,Simbad,290.98505,+43.31459
KIC 7747078 ,5840, 60, 1.990, 0.150, 3.91, 0.03,-0.26, 0.06, 1.17, 0.10, 9.63, 0.12,  5.4, 9.5,"B,1",  1,Gaia,2M,Simbad,289.72556,+43.49630
KIC 7799349 ,5115, 60, 2.670, 0.210, 3.67, 0.03, 0.41, 0.06, 1.22, 0.12, 9.78, 0.14,  5.3, 9.7,"B,1",  1,Gaia,2M,Simbad,281.05338,+43.53399
KIC 7871531 ,5400, 60, 0.840, 0.050, 4.49, 0.03,-0.24, 0.06, 0.82, 0.05, 9.96, 0.22, 15.2, 9.4,"B,1",  1,Gaia,2M,Simbad,282.91500,+43.63602
KIC 7940546 ,6264, 60, 1.850, 0.150, 3.99, 0.03,-0.19, 0.06, 1.24, 0.10, 9.55, 0.10, 11.1, 7.4,"B,1",  1,Gaia,2M,Simbad,283.06875,+43.70991
KIC 7970740 ,5290, 60, 0.720, 0.030, 4.58, 0.03,-0.49, 0.06, 0.74, 0.04, 9.83, 0.48, 36.6, 8.0,"B,1",  2,Gaia,2M,Simbad,295.44019,+43.74770
KIC 7976303 ,6053, 60, 1.950, 0.160, 3.87, 0.03,-0.53, 0.06, 1.03, 0.09, 9.81, 0.13,  6.4, 9.2,"B,1",  1,Gaia,2M,Simbad,297.05955,+43.74693
KIC 8006161 ,5390, 60, 0.920, 0.040, 4.49, 0.03, 0.34, 0.06, 0.97, 0.04, 9.56, 0.39, 36.8, 7.5,"B,1",  2,Gaia,2M,Simbad,281.14633,+43.83327
KIC 8179536 ,6344, 60, 1.330, 0.090, 4.27, 0.03, 0.01, 0.06, 1.22, 0.05, 9.41, 0.14,  7.1, 9.5,"B,1",  2,Gaia,2M,Simbad,296.34985,+44.07663
KIC 8228742 ,6042, 60, 1.770, 0.130, 4.02, 0.03,-0.14, 0.06, 1.19, 0.07, 9.63, 0.10,  5.6, 9.5,"B,1",  1,Gaia,2M,Simbad,290.19975,+44.15521
KIC 8394589 ,6114, 60, 1.120, 0.070, 4.32, 0.03,-0.36, 0.06, 0.97, 0.05, 9.79, 0.11,  7.8, 9.6,"B,1",  1,Gaia,2M,Simbad,300.46427,+44.35393
KIC 8524425 ,5634, 60, 1.800, 0.160, 3.98, 0.03, 0.14, 0.06, 1.13, 0.11, 9.85, 0.14,  5.6, 9.9,"B,1",  2,Gaia,2M,Simbad,300.63884,+44.53305
KIC 8561221 ,5245, 60, 2.560, 0.270, 3.61, 0.03,-0.06, 0.06, 0.96, 0.18,10.04, 0.24,  3.5,10.1,"B,1",  1,Gaia,2M,Simbad,292.28517,+44.64124
KIC 8694723 ,6120, 60, 1.420, 0.100, 4.10, 0.03,-0.59, 0.06, 0.93, 0.04, 9.93, 0.06,  8.2, 8.9,"B,1",  1,Gaia,2M,Simbad,293.96072,+44.88056
KIC 8702606 ,5540, 60, 2.240, 0.180, 3.76, 0.03,-0.09, 0.06, 1.05, 0.12, 9.90, 0.14,  5.4, 9.5,"B,1",  1,Gaia,2M,Simbad,296.57436,+44.82767
KIC 8751420 ,5264, 60, 2.270, 0.160, 3.70, 0.03,-0.15, 0.06, 0.94, 0.06,10.07, 0.10, 17.2, 7.0,"B,1",  2,Gaia,2M,Simbad,291.01408,+44.93354
KIC 8938364 ,5630, 60, 1.330, 0.100, 4.16, 0.03,-0.20, 0.06, 0.94, 0.06, 9.97, 0.10,  6.2,10.2,"B,1",  1,Gaia,2M,Simbad,285.54124,+45.27760
KIC 9098294 ,5840, 60, 1.140, 0.080, 4.30, 0.03,-0.13, 0.06, 0.98, 0.05, 9.87, 0.09,  8.0, 9.9,"B,1",  2,Gaia,2M,Simbad,295.08838,+45.48916
KIC 9139151 ,6125, 60, 1.140, 0.060, 4.38, 0.03, 0.11, 0.06, 1.15, 0.04, 9.29, 0.24,  9.6, 9.3,"B,1",  1,Gaia,2M,Simbad,284.08860,+45.51479
KIC 9139163 ,6400, 60, 1.530, 0.110, 4.18, 0.03, 0.15, 0.06, 1.32, 0.05, 9.41, 0.08,  9.6, 8.3,"B,1",  2,Gaia,2M,Simbad,284.09219,+45.50704
KIC 9206432 ,6608, 60, 1.490, 0.090, 4.23, 0.03, 0.23, 0.06, 1.39, 0.06, 9.16, 0.13,  6.6, 9.1,"B,1",  1,Gaia,2M,Simbad,285.93806,+45.60839
HIP 10337   ,4051,239, 0.694, 0.072, 4.67, 0.06, 0.12, 0.10, 0.65, 0.07, 9.60, 0.53, 42.6, 9.8,"C,1",  0,Gaia,2M,Simbad,033.30069,-21.19645
HIP 105341  ,4033,242, 0.673, 0.063, 4.67, 0.05,-0.05, 0.10, 0.64, 0.07, 9.64, 0.52, 63.2, 9.1,"C,1",  0,Gaia,2M,Simbad,320.05759,-19.85228
HIP 114156  ,4146,209, 0.660, 0.051, 4.67, 0.05,-0.02, 0.10, 0.65, 0.06, 9.59, 0.52, 45.1, 9.6,"C,1",  0,Gaia,2M,Simbad,346.77941,-23.15945
HIP 118261  ,4615,214, 0.715, 0.051, 4.62, 0.05,-0.04, 0.10, 0.74, 0.06, 9.58, 0.52, 44.0, 8.7,"C,1",  0,Gaia,2M,Simbad,359.80708,-26.04875
HIP 12493   ,4276,193, 0.662, 0.047, 4.68, 0.04,-0.29, 0.10, 0.64, 0.06, 9.60, 0.52, 41.9, 9.5,"C,1",  0,Gaia,2M,Simbad,040.17864,+01.19868
HIP 15095   ,4227,199, 0.653, 0.047, 4.67, 0.04,-0.21, 0.10, 0.64, 0.06, 9.61, 0.52, 54.0, 9.1,"C,1",  0,Gaia,2M,Simbad,048.68593,-26.44625
HIP 1532    ,4039,241, 0.594, 0.055, 4.71, 0.06,-0.37, 0.10, 0.58, 0.06, 9.60, 0.53, 49.3, 9.9,"C,1",  0,Gaia,2M,Simbad,004.77318,-09.96485
HIP 19165   ,4298,200, 0.659, 0.047, 4.68, 0.04,-0.22, 0.10, 0.65, 0.06, 9.56, 0.52, 38.7, 9.7,"C,1",  0,Gaia,2M,Simbad,061.64517,-20.85312
HIP 25220   ,4505,179, 0.702, 0.042, 4.63, 0.04, 0.05, 0.10, 0.73, 0.06, 9.58, 0.52, 68.5, 7.9,"C,1",  0,Gaia,2M,Simbad,080.90991,+17.32412
HIP 36551   ,4395,193, 0.669, 0.046, 4.66, 0.04,-0.30, 0.10, 0.66, 0.06, 9.63, 0.52, 48.5, 8.9,"C,1",  0,Gaia,2M,Simbad,112.78213,+14.61414
HIP 40375   ,4334,209, 0.711, 0.052, 4.65, 0.04, 0.03, 0.10, 0.70, 0.06, 9.55, 0.52, 52.0, 8.8,"C,1",  0,Gaia,2M,Simbad,123.64964,+13.02283
HIP 40910   ,4159,228, 0.633, 0.053, 4.67, 0.05,-0.06, 0.10, 0.64, 0.06, 9.60, 0.52, 44.4, 9.7,"C,1",  0,Gaia,2M,Simbad,125.23054,+14.07133
HIP 45839   ,4426,198, 0.714, 0.050, 4.63, 0.04, 0.05, 0.10, 0.72, 0.06, 9.61, 0.52, 41.8, 9.1,"C,1",  0,Gaia,2M,Simbad,140.18465,-05.75397
HIP 47201   ,4207,212, 0.696, 0.054, 4.66, 0.05, 0.03, 0.10, 0.67, 0.06, 9.63, 0.52, 44.5, 9.4,"C,1",  0,Gaia,2M,Simbad,144.29725,+22.69414
HIP 48411   ,4357,199, 0.742, 0.072, 4.63, 0.04, 0.20, 0.10, 0.72, 0.07, 9.62, 0.52, 47.7, 8.8,"C,2",  0,Gaia,2M,Simbad,148.04734,+03.22184
HIP 4845    ,3967,301, 0.632, 0.073, 4.72, 0.12,-0.19, 0.10, 0.59, 0.09, 9.62, 0.52, 46.7,10.0,"C,1",  0,Gaia,2M,Simbad,015.58806,-10.42386
HIP 54810   ,4395,185, 0.681, 0.044, 4.64, 0.04, 0.03, 0.10, 0.70, 0.06, 9.58, 0.52, 54.2, 8.6,"C,1",  0,Gaia,2M,Simbad,168.30514,+04.48234
HIP 5663    ,4186,222, 0.672, 0.055, 4.67, 0.05,-0.05, 0.10, 0.66, 0.06, 9.58, 0.52, 44.0, 9.5,"C,1",  0,Gaia,2M,Simbad,018.19221,-25.23558
HIP 66222   ,3904,266, 0.667, 0.087, 4.70, 0.07,-0.11, 0.10, 0.59, 0.08, 9.62, 0.52, 48.8, 9.9,"C,2",  0,Gaia,2M,Simbad,203.58959,+04.66740
HIP 93871   ,4449,177, 0.681, 0.043, 4.67, 0.04,-0.47, 0.10, 0.65, 0.05, 9.67, 0.52, 40.8, 9.2,"C,1",  0,Gaia,2M,Simbad,286.75850,+07.61588
HIP 97051   ,4200,248, 0.631, 0.057, 4.70, 0.07,-0.19, 0.10, 0.62, 0.07, 9.59, 0.52, 38.5,10.0,"C,1",  0,Gaia,2M,Simbad,295.85557,+10.08951
HD 111631   ,3989, 60, 0.646, 0.020, 4.66, 0.05, 0.24, 0.08, 0.70, 0.07, 9.79, 0.51, 93.7, 8.5,"D,1",  1,Gaia,2M,Simbad,192.68153,-00.76813
HD 1326B    ,3218, 60, 0.192, 0.008, 5.07, 0.05,-0.30, 0.08, 0.16, 0.02, 9.64, 0.53,     ,11.0,"D,3",  0,Gaia,2M,Simbad,004.60624,+44.02712
HD 157881   ,4124, 60, 0.649, 0.020, 4.66, 0.05, 0.19, 0.08, 0.71, 0.07, 9.65, 0.52,129.3, 7.6,"D,1",  1,Gaia,2M,Simbad,261.43847,+02.11142
HD 165222   ,3614, 60, 0.459, 0.016, 4.79, 0.05,-0.22, 0.08, 0.47, 0.05, 9.70, 0.52,128.3, 9.4,"D,2",  1,Gaia,2M,Simbad,271.28158,-03.03132
HD 180617   ,3558, 60, 0.474, 0.016, 4.76, 0.05, 0.10, 0.08, 0.47, 0.05, 9.70, 0.52,169.4, 9.1,"D,1",  1,Gaia,2M,Simbad,289.23024,+05.16890
HD 209290   ,3848, 60, 0.546, 0.019, 4.74, 0.05, 0.02, 0.08, 0.59, 0.06, 9.56, 0.52, 94.2, 9.1,"D,1",  1,Gaia,2M,Simbad,330.54281,+01.40023
HD 232979   ,3929, 60, 0.608, 0.020, 4.68, 0.05,-0.11, 0.08, 0.65, 0.07, 9.78, 0.51,101.2, 8.9,"D,1",  1,Gaia,2M,Simbad,069.42054,+52.89361
HD 245409   ,3966, 60, 0.601, 0.020, 4.69, 0.05, 0.05, 0.08, 0.65, 0.07, 9.66, 0.52, 87.7, 8.9,"D,1",  1,Gaia,2M,Simbad,084.12913,+11.32787
HD 265866   ,3448, 60, 0.358, 0.013, 4.88, 0.05,-0.02, 0.08, 0.35, 0.04, 9.66, 0.52,180.3,10.1,"D,1",  1,Gaia,2M,Simbad,103.70399,+33.26818
HD 28343    ,4124, 62, 0.687, 0.023, 4.64, 0.05, 0.39, 0.08, 0.74, 0.07, 9.77, 0.51, 89.0, 8.3,"D,1",  1,Gaia,2M,Simbad,067.25052,+21.92270
GJ 628      ,3272, 60, 0.325, 0.012, 4.88, 0.05,-0.03, 0.08, 0.29, 0.03, 9.85, 0.48,232.3,10.1,"D,1",  1,Gaia,2M,Simbad,247.57524,-12.66259
GL 105B     ,3284, 60, 0.278, 0.010, 4.94, 0.05,-0.12, 0.03, 0.25, 0.03, 9.85, 0.51,     ,11.7,"D,3",  1,Gaia,2M,Simbad,039.06399,+06.87198
GL 109      ,3405, 60, 0.364, 0.014, 4.85, 0.05,-0.10, 0.08, 0.34, 0.03, 9.72, 0.51,132.4,10.6,"D,2",  1,Gaia,2M,Simbad,041.06462,+25.52336
GL 2066     ,3500, 60, 0.461, 0.017, 4.77, 0.05,-0.12, 0.08, 0.45, 0.04, 9.78, 0.51,112.0,10.1,"D,1",  1,Gaia,2M,Simbad,124.03326,+01.30257
GL 239      ,3801, 60, 0.423, 0.015, 4.86, 0.05,-0.34, 0.08, 0.47, 0.05, 9.49, 0.52, 99.5, 9.6,"D,1",  1,Gaia,2M,Simbad,099.29500,+17.56482
GL 250B     ,3481, 60, 0.460, 0.017, 4.76, 0.05, 0.14, 0.03, 0.44, 0.04, 9.69, 0.52,     ,10.1,"D,3",  1,Gaia,2M,Simbad,103.07521,-05.19006
GL 273      ,3317, 60, 0.315, 0.012, 4.89, 0.05,-0.11, 0.08, 0.28, 0.03, 9.85, 0.49,263.3, 9.9,"D,2",  1,Gaia,2M,Simbad,111.85208,+05.22579
GL 382      ,3623, 60, 0.522, 0.019, 4.72, 0.05, 0.13, 0.08, 0.53, 0.05, 9.75, 0.52,128.0, 9.3,"D,2",  1,Gaia,2M,Simbad,153.07362,-03.74567
GL 393      ,3548, 60, 0.420, 0.016, 4.82, 0.05,-0.18, 0.08, 0.43, 0.04, 9.66, 0.52,138.3, 9.7,"D,2",  1,Gaia,2M,Simbad,157.23146,+00.84101
GL 514      ,3727, 61, 0.483, 0.016, 4.79, 0.05,-0.09, 0.08, 0.53, 0.05, 9.54, 0.52,131.1, 9.0,"D,2",  1,Gaia,2M,Simbad,202.49911,+10.37716
GL 625      ,3475, 60, 0.331, 0.012, 4.90, 0.05,-0.35, 0.08, 0.32, 0.03, 9.75, 0.51,154.1,10.2,"D,1",  1,Gaia,2M,Simbad,246.35260,+54.30410
GL 686      ,3657, 60, 0.424, 0.015, 4.83, 0.05,-0.25, 0.08, 0.44, 0.04, 9.63, 0.53,123.0, 9.6,"D,2",  1,Gaia,2M,Simbad,264.47228,+18.59171
GL 694      ,3464, 61, 0.440, 0.017, 4.79, 0.05, 0.00, 0.08, 0.43, 0.04, 9.72, 0.52,105.4,10.5,"D,2",  1,Gaia,2M,Simbad,265.98318,+43.37861
GL 745A     ,3500, 60, 0.310, 0.012, 4.93, 0.05,-0.33, 0.08, 0.30, 0.03, 9.75, 0.52,113.4,10.8,"D,1",  1,Gaia,2M,Simbad,286.77319,+20.88804
GL 806      ,3542, 61, 0.443, 0.018, 4.78, 0.05,-0.15, 0.08, 0.43, 0.04, 9.72, 0.52, 83.0,10.7,"D,1",  1,Gaia,2M,Simbad,311.26708,+44.49907
GL 83.1     ,3080, 60, 0.187, 0.010, 5.05, 0.05,-0.16, 0.08, 0.14, 0.01, 9.68, 0.53,     ,12.3,"D,3",  1,Gaia,2M,Simbad,030.05400,+13.05195
GL 87       ,3638, 62, 0.443, 0.017, 4.79, 0.05,-0.36, 0.08, 0.44, 0.04, 9.74, 0.52, 94.8,10.0,"D,1",  1,Gaia,2M,Simbad,033.08745,+03.57562
GL 875      ,3740, 61, 0.563, 0.024, 4.70, 0.05, 0.02, 0.08, 0.58, 0.06, 9.77, 0.51, 71.4, 9.8,"D,2",  1,Gaia,2M,Simbad,342.58093,-07.09010
GL 896A     ,3353, 60, 0.409, 0.016, 4.79, 0.05, 0.03, 0.08, 0.38, 0.04, 9.76, 0.51,     ,10.2,"D,3",  1,Gaia,2M,Simbad,352.96738,+19.93729
GL 908      ,3646, 60, 0.407, 0.014, 4.83, 0.05,-0.45, 0.08, 0.41, 0.04, 9.72, 0.52,169.1, 9.0,"D,1",  1,Gaia,2M,Simbad,357.30219,+02.40122
HIP 104432  ,3545, 60, 0.369, 0.016, 4.86, 0.05,-0.45, 0.08, 0.36, 0.04, 9.70, 0.52, 84.9,10.9,"D,1",  1,Gaia,2M,Simbad,317.32261,-13.30250
HIP 109388  ,3530, 60, 0.470, 0.018, 4.78, 0.05, 0.37, 0.08, 0.48, 0.05, 9.65, 0.52,113.2,10.4,"D,1",  1,Gaia,2M,Simbad,332.41810,-04.64074
HIP 11048   ,3785, 62, 0.599, 0.021, 4.67, 0.05, 0.14, 0.08, 0.61, 0.06, 9.85, 0.49, 83.9, 9.3,"D,2",  1,Gaia,2M,Simbad,035.56101,+47.88003
HIP 115332  ,3324, 60, 0.416, 0.020, 4.79, 0.05, 0.24, 0.08, 0.39, 0.04, 9.68, 0.52, 93.5,11.7,"D,2",  1,Gaia,2M,Simbad,350.40604,+17.29039
HIP 115562  ,3764, 60, 0.539, 0.020, 4.74, 0.05, 0.31, 0.08, 0.58, 0.06, 9.55, 0.52, 75.8,10.1,"D,1",  1,Gaia,2M,Simbad,351.12714,+57.85431
HIP 15366   ,3700, 61, 0.628, 0.031, 4.65, 0.05, 0.53, 0.08, 0.64, 0.06, 9.76, 0.51, 57.8,10.3,"D,2",  1,Gaia,2M,Simbad,049.53117,+38.25207
HIP 1734    ,3600, 60, 0.528, 0.028, 4.73, 0.05, 0.27, 0.08, 0.55, 0.06, 9.69, 0.52, 55.2,11.1,"D,1",  1,Gaia,2M,Simbad,005.48352,-31.40606
HIP 21556   ,3671, 61, 0.444, 0.017, 4.82, 0.05,-0.04, 0.08, 0.47, 0.05, 9.55, 0.52, 89.5,10.3,"D,1",  1,Gaia,2M,Simbad,069.42444,-11.03888
HIP 22762   ,3506, 60, 0.421, 0.019, 4.81, 0.05,-0.24, 0.08, 0.41, 0.04, 9.75, 0.51, 83.7,10.9,"D,1",  1,Gaia,2M,Simbad,073.45825,-17.77342
HIP 23512   ,3365, 60, 0.284, 0.013, 4.95, 0.05,-0.12, 0.08, 0.26, 0.03, 9.75, 0.52,107.9,11.7,"D,1",  1,Gaia,2M,Simbad,075.83369,-17.37354
HIP 36338   ,3448, 60, 0.404, 0.019, 4.82, 0.05,-0.01, 0.08, 0.40, 0.04, 9.69, 0.51, 79.7,11.5,"D,2",  1,Gaia,2M,Simbad,112.18933,-03.29815
HIP 36834   ,3681, 60, 0.385, 0.016, 4.87, 0.05,-0.37, 0.08, 0.40, 0.04, 9.62, 0.52, 85.2,10.4,"D,1",  1,Gaia,2M,Simbad,113.61430,+62.94149
HIP 37217   ,3358, 60, 0.315, 0.016, 4.90, 0.05,-0.18, 0.08, 0.29, 0.03, 9.81, 0.51, 92.2,11.7,"D,2",  1,Gaia,2M,Simbad,114.67065,-21.22458
HIP 46769   ,3692, 60, 0.518, 0.021, 4.74, 0.05,-0.20, 0.08, 0.53, 0.05, 9.72, 0.52, 73.6,10.1,"D,1",  1,Gaia,2M,Simbad,142.98472,+36.32023
HIP 47513   ,3500, 60, 0.485, 0.019, 4.74, 0.05,-0.05, 0.08, 0.47, 0.05, 9.83, 0.49, 86.2,10.4,"D,1",  1,Gaia,2M,Simbad,145.29317,+13.20956
HIP 51007   ,3700, 60, 0.497, 0.020, 4.76, 0.05,-0.02, 0.08, 0.52, 0.05, 9.63, 0.53, 78.3,10.1,"D,1",  1,Gaia,2M,Simbad,156.29515,-10.22869
HIP 5643    ,3056, 60, 0.168, 0.009, 5.10, 0.05,-0.26, 0.08, 0.13, 0.01, 9.61, 0.52,269.1,12.1,"D,2",  1,Gaia,2M,Simbad,018.12766,-16.99898
HIP 57050   ,3304, 61, 0.376, 0.018, 4.81, 0.05, 0.07, 0.08, 0.34, 0.03, 9.78, 0.51, 90.9,12.0,"D,1",  1,Gaia,2M,Simbad,175.43597,+42.75197
HIP 57548   ,3192, 60, 0.197, 0.008, 5.08, 0.05,-0.02, 0.08, 0.17, 0.02, 9.62, 0.53,295.8,11.2,"D,1",  1,Gaia,2M,Simbad,176.93499,+00.80455
