apf_name,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,best_mean_chi_squared
195564,5553.393,110.000,1.787,0.180,4.022,0.120,0.072,0.09,1.000,0.080,9.98,0.17,3.32
HIP10279,3527.969,70.000,0.417,0.100,4.836,0.120,-0.444,0.09,0.427,0.080,9.83,0.17,13.32
HIP103096,3659.117,70.000,0.547,0.100,4.731,0.120,0.107,0.09,0.548,0.080,9.80,0.17,3.95
200964,4987.654,110.000,3.810,0.180,3.300,0.120,-0.047,0.09,1.037,0.080,9.95,0.17,2.75
GJ820A,4274.627,70.000,0.666,0.100,4.667,0.120,-0.254,0.09,0.653,0.080,9.60,0.17,4.33
201092,4009.884,70.000,0.607,0.100,4.701,0.120,-0.348,0.09,0.597,0.080,9.66,0.17,4.27
HIP105341,4120.380,70.000,0.653,0.100,4.657,0.120,0.103,0.09,0.681,0.080,9.76,0.17,4.19
HIP107350,5945.504,110.000,1.048,0.180,4.450,0.120,-0.012,0.09,1.055,0.080,9.38,0.17,0.68
209290,3763.313,70.000,0.581,0.100,4.689,0.120,0.066,0.09,0.592,0.080,9.88,0.17,4.34
HIP112774,3815.117,70.000,0.554,0.100,4.719,0.120,-0.152,0.09,0.572,0.080,9.77,0.17,4.55
GJ876,3289.319,70.000,0.337,0.100,4.874,0.120,0.096,0.09,0.307,0.080,9.81,0.17,8.54
HIP113357,5662.813,110.000,1.254,0.180,4.181,0.120,0.210,0.09,1.035,0.080,9.92,0.17,1.83
217107,5505.088,110.000,1.533,0.180,4.104,0.120,0.358,0.09,1.052,0.080,9.94,0.17,2.46
HIP114622,4815.512,110.000,0.775,0.100,4.512,0.120,0.084,0.09,0.789,0.080,10.00,0.17,5.08
222368,6059.114,110.000,1.530,0.180,4.148,0.120,-0.165,0.09,1.135,0.080,9.65,0.17,0.66
HIP117473,3576.894,70.000,0.408,0.100,4.827,0.120,-0.517,0.09,0.404,0.080,9.75,0.17,4.87
16160,4795.059,110.000,0.760,0.100,4.530,0.120,0.026,0.09,0.771,0.080,10.01,0.17,6.40
HIP12781,3447.552,70.000,0.351,0.100,4.896,0.120,-0.031,0.09,0.348,0.080,9.65,0.17,6.20
HIP14632,5888.448,110.000,1.304,0.180,4.192,0.120,0.139,0.09,1.107,0.080,9.74,0.17,1.13
1326,3603.072,70.000,0.412,0.100,4.834,0.120,-0.349,0.09,0.420,0.080,9.69,0.17,4.67
1461,5654.306,110.000,1.283,0.180,4.206,0.120,0.205,0.09,1.025,0.080,9.92,0.17,4.18
GJ144,5036.969,110.000,0.770,0.100,4.522,0.120,-0.055,0.09,0.800,0.080,9.81,0.17,2.49
HIP16852,5977.617,110.000,1.111,0.180,4.261,0.120,-0.019,0.09,1.094,0.080,9.64,0.17,1.14
23249,4986.564,110.000,3.389,0.180,3.588,0.120,0.286,0.09,1.135,0.080,9.85,0.17,3.45
26965,5044.805,110.000,0.742,0.100,4.553,0.120,-0.337,0.09,0.766,0.080,9.82,0.17,3.80
34411,5671.292,110.000,1.640,0.180,4.069,0.120,0.083,0.09,1.048,0.080,9.89,0.17,1.73
35112,4907.235,110.000,0.747,0.100,4.523,0.120,-0.097,0.09,0.769,0.080,9.89,0.17,2.84
37124,5501.547,110.000,1.096,0.180,4.363,0.120,-0.517,0.09,0.849,0.080,9.82,0.17,2.11
37394,5263.601,110.000,0.826,0.100,4.527,0.120,0.103,0.09,0.863,0.080,9.59,0.17,2.05
38858,5630.045,110.000,1.000,0.180,4.443,0.120,-0.326,0.09,0.906,0.080,9.53,0.17,1.35
42807,5670.761,110.000,0.980,0.100,4.455,0.120,-0.082,0.09,0.959,0.080,9.55,0.17,3.01
3651,5195.711,110.000,0.922,0.100,4.415,0.120,0.243,0.09,0.868,0.080,10.01,0.17,4.99
HIP31635,3704.184,70.000,0.483,0.100,4.774,0.120,-0.277,0.09,0.499,0.080,9.68,0.17,5.85
GJ251,3453.358,70.000,0.386,0.100,4.869,0.120,0.064,0.09,0.388,0.080,9.64,0.17,10.68
HIP3765,4929.000,110.000,0.722,0.100,4.545,0.120,-0.291,0.09,0.744,0.080,9.85,0.17,2.22
72760,5349.472,110.000,0.799,0.100,4.566,0.120,0.052,0.09,0.877,0.080,9.35,0.17,2.20
75732,5379.897,110.000,0.931,0.100,4.460,0.120,0.487,0.09,0.943,0.080,9.63,0.17,3.91
82885,5411.788,110.000,1.001,0.180,4.271,0.120,0.356,0.09,0.964,0.080,10.02,0.17,2.60
84737,5757.069,110.000,1.378,0.180,4.153,0.120,0.105,0.09,1.057,0.080,9.85,0.17,2.36
HIP49081,5673.020,110.000,1.130,0.180,4.223,0.120,0.228,0.09,1.024,0.080,9.93,0.17,1.50
95735,3566.388,70.000,0.431,0.100,4.802,0.120,-0.295,0.09,0.427,0.080,9.73,0.17,7.46
166,5416.826,110.000,0.898,0.100,4.476,0.120,0.084,0.09,0.904,0.080,9.71,0.17,1.83
101501,5462.481,110.000,1.157,0.180,4.330,0.120,-0.031,0.09,0.927,0.080,9.80,0.17,2.00
HIP62145,4992.863,110.000,0.794,0.100,4.504,0.120,0.184,0.09,0.826,0.080,9.88,0.17,5.37
HIP6379,5178.654,110.000,0.786,0.100,4.550,0.120,-0.124,0.09,0.832,0.080,9.65,0.17,2.57
HIP64924,5446.330,110.000,1.108,0.180,4.240,0.120,0.022,0.09,0.924,0.080,10.00,0.17,2.69
117176,5462.090,110.000,1.783,0.180,3.944,0.120,-0.039,0.09,0.977,0.080,10.01,0.17,2.26
HIP65859,3664.028,70.000,0.499,0.100,4.767,0.120,-0.161,0.09,0.505,0.080,9.80,0.17,4.72
130948,6016.713,110.000,1.073,0.180,4.452,0.120,0.088,0.09,1.095,0.080,9.29,0.17,0.81
HIP72659,5386.625,110.000,0.894,0.100,4.460,0.120,-0.143,0.09,0.850,0.080,9.96,0.17,1.49
131511,5304.549,110.000,0.816,0.100,4.541,0.120,0.113,0.09,0.880,0.080,9.50,0.17,1.38
131582,4782.389,110.000,0.708,0.100,4.522,0.120,-0.302,0.09,0.715,0.080,10.00,0.17,2.60
135101a,5559.892,110.000,1.552,0.180,4.068,0.120,0.080,0.09,0.996,0.080,10.00,0.17,1.60
HIP78459,5729.934,110.000,1.033,0.180,4.250,0.120,-0.331,0.09,0.941,0.080,9.82,0.17,1.83
145675,5205.636,110.000,1.056,0.180,4.381,0.120,0.449,0.09,0.901,0.080,10.08,0.17,3.55
HIP7981,5217.505,110.000,0.800,0.100,4.542,0.120,-0.008,0.09,0.842,0.080,9.60,0.17,2.28
HIP80459,3518.109,70.000,0.376,0.100,4.861,0.120,-0.384,0.09,0.370,0.080,9.74,0.17,6.17
10700,5346.340,110.000,0.880,0.100,4.502,0.120,-0.496,0.09,0.807,0.080,9.82,0.17,4.99
HIP81300,5218.833,110.000,0.835,0.100,4.519,0.120,0.051,0.09,0.868,0.080,9.71,0.17,2.02
10780,5309.468,110.000,0.839,0.100,4.522,0.120,0.053,0.09,0.884,0.080,9.64,0.17,1.86
HIP84862,5525.057,110.000,1.119,0.180,4.228,0.120,-0.532,0.09,0.877,0.080,9.92,0.17,1.55
158633,5261.833,110.000,0.768,0.100,4.535,0.120,-0.479,0.09,0.775,0.080,9.86,0.17,2.74
GJ687,3405.616,70.000,0.369,0.100,4.859,0.120,0.043,0.09,0.355,0.080,9.73,0.17,7.94
HIP86287,3608.560,70.000,0.445,0.100,4.816,0.120,-0.315,0.09,0.455,0.080,9.71,0.17,4.51
HIP86776,3504.469,70.000,0.421,0.100,4.819,0.120,0.028,0.09,0.419,0.080,9.69,0.17,6.48
161797,5503.182,110.000,1.750,0.180,4.049,0.120,0.378,0.09,1.084,0.080,9.91,0.17,3.17
Gl699,3203.682,70.000,0.221,0.100,5.031,0.120,-0.311,0.09,0.188,0.080,9.68,0.17,14.52
HIP88348,5243.486,110.000,1.010,0.180,4.329,0.120,0.174,0.09,0.919,0.080,9.79,0.17,3.36
HIP89348,6151.345,110.000,1.756,0.180,4.034,0.120,-0.587,0.09,1.043,0.080,9.78,0.17,0.93
168443,5549.280,110.000,1.496,0.180,4.128,0.120,0.163,0.09,0.990,0.080,9.95,0.17,2.82
11964,5217.082,110.000,2.668,0.180,3.680,0.120,0.158,0.09,1.126,0.080,9.87,0.17,3.55
172051,5484.278,110.000,0.923,0.100,4.455,0.120,-0.321,0.09,0.864,0.080,9.85,0.17,2.09
HIP93871,4333.433,70.000,0.662,0.100,4.654,0.120,-0.316,0.09,0.661,0.080,9.72,0.17,6.39
HIP93873,3516.870,70.000,0.409,0.100,4.832,0.120,-0.416,0.09,0.412,0.080,9.79,0.17,8.65
182572,5507.520,110.000,1.678,0.180,4.071,0.120,0.402,0.09,1.074,0.080,9.93,0.17,2.53
185144,5212.249,110.000,0.796,0.100,4.543,0.120,-0.203,0.09,0.819,0.080,9.71,0.17,3.02
HIP96895,5603.128,110.000,1.549,0.180,4.091,0.120,0.069,0.09,1.013,0.080,9.93,0.17,1.61
186427,5562.337,110.000,1.506,0.180,4.098,0.120,0.056,0.09,0.989,0.080,9.98,0.17,2.43
HIP97051,4209.339,70.000,0.657,0.100,4.669,0.120,-0.176,0.09,0.648,0.080,9.61,0.17,4.65
HIP98036,5114.403,110.000,3.043,0.180,3.511,0.120,-0.043,0.09,1.008,0.080,9.97,0.17,3.20
189733,5001.812,110.000,0.771,0.100,4.522,0.120,-0.007,0.09,0.799,0.080,9.80,0.17,3.67
HIP98767,5464.410,110.000,1.440,0.180,4.137,0.120,0.321,0.09,1.021,0.080,9.95,0.17,2.42
190406,5889.800,110.000,1.014,0.180,4.310,0.120,0.094,0.09,1.078,0.080,9.59,0.17,2.06
93396,5197.695,110.000,2.942,0.180,3.642,0.120,0.312,0.09,1.208,0.080,9.78,0.17,3.77
HIP27913,5933.214,110.000,1.060,0.180,4.445,0.120,0.030,0.09,1.057,0.080,9.41,0.17,0.73
HIP36366,6463.869,110.000,2.072,0.180,3.980,0.120,-0.018,0.09,1.468,0.080,9.37,0.17,12.17
HIP12777,6125.903,110.000,1.667,0.180,4.115,0.120,-0.039,0.09,1.207,0.080,9.59,0.17,1.36
HIP67275,6223.142,110.000,1.685,0.180,4.146,0.120,0.102,0.09,1.290,0.080,9.49,0.17,1.21
HIP70497,6315.131,110.000,1.809,0.180,4.142,0.120,-0.120,0.09,1.293,0.080,9.33,0.17,1.04
HIP88175,6596.489,110.000,2.227,0.180,3.949,0.120,-0.074,0.09,1.513,0.080,9.31,0.17,1.80
HIP114924,6063.516,110.000,1.135,0.180,4.280,0.120,0.070,0.09,1.138,0.080,9.50,0.17,1.14
HIP85295,4063.425,70.000,0.665,0.100,4.654,0.120,0.033,0.09,0.654,0.080,9.87,0.17,2.91
HIP71395,4932.709,110.000,0.776,0.100,4.521,0.120,0.149,0.09,0.811,0.080,9.85,0.17,2.05
HIP74995,3444.965,70.000,0.370,0.100,4.868,0.120,0.004,0.09,0.363,0.080,9.67,0.17,9.00
GJ628,3339.961,70.000,0.350,0.100,4.867,0.120,0.038,0.09,0.326,0.080,9.77,0.17,11.08
HIP90790,5026.629,110.000,0.759,0.100,4.554,0.120,-0.166,0.09,0.791,0.080,9.75,0.17,2.25
HIP13642,5104.780,110.000,0.865,0.100,4.472,0.120,0.315,0.09,0.861,0.080,9.91,0.17,2.88
HIP75722,5059.759,110.000,0.845,0.100,4.473,0.120,0.269,0.09,0.845,0.080,9.95,0.17,2.83
16765,6202.350,110.000,2.230,0.180,3.954,0.120,-0.023,0.09,1.386,0.080,9.46,0.17,0.72
122973,5849.823,110.000,0.980,0.100,4.321,0.120,0.094,0.09,1.060,0.080,9.66,0.17,1.46
86081,5836.926,110.000,1.838,0.180,4.069,0.120,0.190,0.09,1.178,0.080,9.74,0.17,4.85
